,MOF,gas,ppm,rep_id,slope,saturation,auc
250,Cu-HHTP,NH3,40,3,0.2335093909469671,25.866184592528832,40749.66739100191
251,Cu-HHTP,NH3,80,0,0.5415975599436109,35.07108113551383,59489.434974662974
252,Cu-HHTP,NH3,80,1,0.5277320477748536,35.28485500900047,59858.82748452244
253,Cu-HHTP,NH3,80,2,0.48034268604857233,34.5461235476391,58449.09082413229
254,Cu-HHTP,NH3,80,3,0.4502684943850447,33.912091905456776,57082.33940872473
255,Ni-HHTP,NH3,5,0,-0.07704291599199967,-19.272959914903474,-28407.497570726016
256,Ni-HHTP,NH3,5,1,-0.08930432027377071,-20.104628740963737,-29905.735897351806
257,Ni-HHTP,NH3,5,2,-0.0945300197344467,-19.384399757178787,-29019.97300399431
258,Ni-HHTP,NH3,5,3,-0.08638270466080078,-18.744141999272347,-27756.94911200207
259,Ni-HHTP,NH3,10,0,-0.16542166521697999,-21.94229398784697,-29676.120862544114
260,Ni-HHTP,NH3,10,1,-0.1617172933383102,-20.962357947550498,-27742.32049387161
261,Ni-HHTP,NH3,10,2,-0.2168261585752578,-20.380853258185997,-25844.534347281533
262,Ni-HHTP,NH3,20,0,-0.2220804412273958,-14.075642413321626,-11804.218870508941
263,Ni-HHTP,NH3,20,1,-0.21912713568013567,-13.26432745795206,-10899.239328584757
264,Ni-HHTP,NH3,20,2,-0.16456626550739217,-12.144997198541983,-8015.080144972917
265,Ni-HHTP,NH3,20,3,-0.22351201171706855,-13.641101169563408,-10962.097474578628
266,Ni-HHTP,NH3,40,0,-0.2988542344287246,-25.439513336652805,-30449.032430167314
267,Ni-HHTP,NH3,40,1,-0.278161855320442,-30.3551372160952,-40642.928703703124
268,Ni-HHTP,NH3,40,2,-0.3384236423177912,-31.47368355728808,-44656.63524870793
269,Ni-HHTP,NH3,40,3,-0.46855939882974545,-23.36846619030616,-19174.48957049722
270,Ni-HHTP,NH3,80,0,-0.4805660870297177,-18.11334855990067,-11986.34183470943
271,Ni-HHTP,NH3,80,1,-0.49634297777361336,-18.580830009996443,-11923.287034235207
272,Ni-HHTP,NH3,80,2,-0.5034784946228514,-17.862277894768894,-10080.17575470825
273,Ni-HHTP,NH3,80,3,-0.5378323195438293,-18.969492395899206,-12687.94653023342
274,Zn-HHTP,NH3,5,0,-0.08990631804357627,-21.425331041989317,-33249.59573456923
275,Zn-HHTP,NH3,5,1,-0.08174612908671151,-21.214483323939216,-32354.368455904427
276,Zn-HHTP,NH3,5,2,-0.08780419210627077,-19.741616125490648,-30319.705672077456
277,Zn-HHTP,NH3,5,3,-0.10572492554193234,-20.893322021158067,-32962.150426840264
278,Zn-HHTP,NH3,10,0,-0.27338065552738905,-28.466477637649398,-43922.14184050878
279,Zn-HHTP,NH3,10,1,-0.263020062501145,-28.21224679179713,-43656.81855195087
